Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1,38,1,1990-04-27,CHI,,MIL,W 111-97,*,44:00,15,27,.556,0,1,.000,15,26,.577,.556,8,11,.727,1,7,8,7,2,1,7,4,38,25.7
2,39,2,1990-04-29,CHI,,MIL,W 109-102,*,44:00,12,21,.571,0,0,,12,21,.571,.571,12,14,.857,1,8,9,11,5,1,5,5,36,34.8
3,40,3,1990-05-01,CHI,@,MIL,L 112-119,*,46:00,20,35,.571,1,5,.200,19,30,.633,.586,7,9,.778,2,7,9,5,1,2,5,4,48,33.5
4,41,4,1990-05-03,CHI,@,MIL,W 110-86,*,32:00,8,19,.421,0,0,,8,19,.421,.421,9,13,.692,1,5,6,5,2,0,1,3,25,18.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,42,5,1990-05-07,CHI,,PHI,W 96-85,*,43:00,16,30,.533,2,4,.500,14,26,.538,.567,5,6,.833,1,4,5,6,5,2,4,3,39,31.3
6,43,6,1990-05-09,CHI,,PHI,W 101-96,*,43:00,18,36,.500,1,3,.333,17,33,.515,.514,8,8,1.000,4,4,8,7,3,0,2,3,45,35.7
7,44,7,1990-05-11,CHI,@,PHI,L 112-118,*,42:00,19,34,.559,4,11,.364,15,23,.652,.618,7,9,.778,2,3,5,5,4,1,5,4,49,35.9
8,45,8,1990-05-13,CHI,@,PHI,W 111-101,*,42:00,16,31,.516,1,2,.500,15,29,.517,.532,12,13,.923,1,5,6,11,2,2,3,3,45,38.4
9,46,9,1990-05-16,CHI,,PHI,W 117-99,*,42:00,17,26,.654,1,3,.333,16,23,.696,.673,2,4,.500,2,7,9,8,6,1,4,2,37,35.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,47,10,1990-05-20,CHI,@,DET,L 77-86,*,42:00,12,27,.444,2,6,.333,10,21,.476,.481,8,8,1.000,1,6,7,5,3,0,1,3,34,26.7
11,48,11,1990-05-22,CHI,@,DET,L 93-102,*,45:00,5,16,.313,0,2,.000,5,14,.357,.313,10,12,.833,1,6,7,7,4,1,3,5,20,17.1
12,49,12,1990-05-26,CHI,,DET,W 107-102,*,43:00,17,32,.531,2,2,1.000,15,30,.500,.563,11,13,.846,3,7,10,4,1,0,4,3,47,33.4
13,50,13,1990-05-28,CHI,,DET,W 108-101,*,43:00,13,26,.500,0,1,.000,13,25,.520,.500,16,19,.842,0,4,4,9,4,3,4,5,42,35.4
14,51,14,1990-05-30,CHI,@,DET,L 83-97,*,39:00,7,19,.368,1,4,.250,6,15,.400,.395,7,9,.778,1,3,4,8,1,0,1,1,22,17.5
15,52,15,1990-06-01,CHI,,DET,W 109-91,*,39:00,11,20,.550,1,4,.250,10,16,.625,.575,6,6,1.000,1,9,10,2,1,0,3,4,29,20.6
16,53,16,1990-06-03,CHI,@,DET,L 74-93,*,45:00,13,27,.481,0,2,.000,13,25,.520,.481,5,5,1.000,2,6,8,9,1,0,4,2,31,23.0
,,,,,,,10-6,16,674,219,426,.514,16,50,.320,203,376,.540,.533,133,159,.836,24,91,115,109,45,14,56,54,587,29.0
